response;direction;rt;previous_response;previous_direction
1;1;989;0;0
-1;-1;552;1;1
-1;-1;558;-1;-1
1;1;549;-1;-1
1;1;386;1;1
1;-1;431;1;1
-1;-1;522;1;-1
-1;-1;750;-1;-1
1;1;625;-1;-1
-1;-1;725;1;1
1;1;488;-1;-1
-1;-1;700;1;1
1;1;619;-1;-1
1;1;449;1;1
-1;-1;576;1;1
-1;-1;473;-1;-1
-1;-1;503;-1;-1
1;1;471;-1;-1
1;1;474;1;1
1;1;481;1;1
-1;-1;617;1;1
1;1;506;-1;-1
1;1;478;1;1
-1;-1;401;1;1
1;1;533;-1;-1
-1;-1;537;1;1
1;1;579;-1;-1
-1;-1;454;1;1
-1;-1;460;-1;-1
1;1;576;-1;-1
1;1;496;1;1
1;1;469;1;1
1;1;390;1;1
-1;-1;458;1;1
-1;-1;690;-1;-1
-1;-1;727;-1;-1
1;1;508;-1;-1
1;1;501;1;1
-1;-1;545;1;1
1;1;406;-1;-1
-1;-1;663;1;1
1;1;395;-1;-1
-1;-1;618;1;1
-1;-1;696;-1;-1
1;1;603;-1;-1
1;1;455;1;1
-1;-1;453;1;1
-1;-1;451;-1;-1
